date,state,unemployment_rate,national_unemployment_rate,federal_funds_rate,manufacturing_employment_share,labor_force_participation_rate,inflation_cpi,recession_indicator,treasury_10y_yield,unemployment_yoy_change,fed_rate_change,unemployment_lagged_1mo,fed_rate_lagged_1mo,unemployment_volatility_12mo
1990-01-01,MI,7.7,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.43762444117662264
1990-01-01,MN,4.5,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.4541892543729745
1990-01-01,MO,5.6,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.46286328893359424
1990-01-01,MS,7.5,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.4640892025018331
1990-01-01,MT,5.7,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.4579268169663894
1990-01-01,NC,3.5,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.44406865426076747
1990-01-01,ND,4.2,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.41660605619770485
1990-01-01,NH,4.4,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.37779263191236473
1990-01-01,NJ,4.5,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.32844906435973653
1990-01-01,NM,6.7,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.2843120351538636
1990-01-01,NV,4.5,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.21514618004481784
1990-01-01,NY,5.2,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.1723280873710608
1990-01-01,OH,5.9,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.15447859516332546
1990-01-01,OK,5.4,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.183195540504141
1990-01-01,OR,5.1,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.24432963327637536
1990-01-01,PA,5.2,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.31766191290283685
1990-01-01,RI,5.4,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.3725424523297682
1990-01-01,SC,4.7,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.40526833609649715
1990-01-01,SD,3.7,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.435542156050329
1990-01-01,TN,5.0,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.4396968652757637
1990-01-01,TX,6.3,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.4294993561924131
1990-01-01,UT,4.5,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.4055486369964741
1990-01-01,VA,3.9,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.3700941731096269
1990-01-01,VT,4.1,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.3333712099692558
1990-01-01,WA,5.4,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.28431203515387093
1990-01-01,WI,4.2,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.2208797835653638
1990-01-01,WV,8.1,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.16764862244010265
1990-01-01,WY,5.5,5.4,8.23,,66.8,127.5,0.0,,,0.0,,8.23,0.1337115846843185
1990-02-01,AK,7.2,5.3,8.24,,66.7,128.0,0.0,8.42,,0.009999999999999787,7.2,8.23,0.09962049198958228
1990-02-01,AL,6.7,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,6.7,8.24,0.07537783614446818
1990-02-01,AR,6.7,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,6.7,8.24,0.06513389472792487
1990-02-01,AZ,5.2,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.0,8.24,0.05149286505448462
1990-02-01,CA,5.2,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.2,8.24,0.052223296786750154
1990-02-01,CO,5.1,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.2,8.24,0.06513389472792655
1990-02-01,CT,4.5,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.4,8.24,0.07177405625655858
1990-02-01,DE,3.5,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,3.5,8.24,0.0953462589245833
1990-02-01,GA,5.1,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.2,8.24,0.12880570286642515
1990-02-01,HI,2.7,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,2.6,8.24,0.1676486224401069
1990-02-01,IA,4.3,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.4,8.24,0.20889318714684976
1990-02-01,ID,5.3,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.3,8.24,0.25045413298102764
1990-02-01,IL,6.2,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,6.3,8.24,0.2678477631835484
1990-02-01,IN,5.1,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.1,8.24,0.2708012801545439
1990-02-01,KS,4.0,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.1,8.24,0.25980762113534495
1990-02-01,KY,5.8,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.8,8.24,0.23290003057627895
1990-02-01,LA,6.0,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,6.1,8.24,0.20056737702647573
1990-02-01,MA,5.4,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.2,8.24,0.1732050807569107
1990-02-01,MD,3.7,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,3.7,8.24,0.1356801050600238
1990-02-01,ME,4.5,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.5,8.24,0.11934162828800562
1990-02-01,MI,7.6,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,7.7,8.24,0.1356801050600238
1990-02-01,MN,4.6,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.5,8.24,0.15642792899512867
1990-02-01,MO,5.6,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.6,8.24,0.18647446815243907
1990-02-01,MS,7.4,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,7.5,8.24,0.19924098397914278
1990-02-01,MT,5.7,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.7,8.24,0.21461734799547985
1990-02-01,NC,3.5,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,3.5,8.24,0.2167249338901809
1990-02-01,ND,4.2,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.2,8.24,0.19752253419586677
1990-02-01,NH,4.6,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.4,8.24,0.1651445647689703
1990-02-01,NJ,4.6,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.5,8.24,0.13568010506001232
1990-02-01,NM,6.6,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,6.7,8.24,0.12309149097935293
1990-02-01,NV,4.5,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.5,8.24,0.12309149097935293
1990-02-01,NY,5.1,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.2,8.24,0.13568010506001232
1990-02-01,OH,5.8,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.9,8.24,0.15050420310250612
1990-02-01,OK,5.3,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.4,8.24,0.16213537179740956
1990-02-01,OR,5.1,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.1,8.24,0.16025547785278293
1990-02-01,PA,5.2,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.2,8.24,0.1564279289951215
1990-02-01,RI,5.6,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.4,8.24,0.1378954368902666
1990-02-01,SC,4.7,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.7,8.24,0.11146408580457053
1990-02-01,SD,3.7,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,3.7,8.24,0.0996204919895948
1990-02-01,TN,5.0,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.0,8.24,0.0900336637378899
1990-02-01,TX,6.3,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,6.3,8.24,0.1055289706022512
1990-02-01,UT,4.4,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.5,8.24,0.13789543689027195
1990-02-01,VA,3.9,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,3.9,8.24,0.16143297699235354
1990-02-01,VT,4.2,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.1,8.24,0.19227505550566082
1990-02-01,WA,5.2,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.4,8.24,0.22746961169007307
1990-02-01,WI,4.2,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,4.2,8.24,0.26443192398848375
1990-02-01,WV,8.0,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,8.1,8.24,0.3084663922561494
1990-02-01,WY,5.4,5.3,8.24,,66.7,128.0,0.0,8.42,,0.0,5.5,8.24,0.34333480435108527
1990-03-01,AK,7.2,5.2,8.28,,66.7,128.6,0.0,8.59,,0.03999999999999915,7.2,8.24,0.35376760048303746
1990-03-01,AL,6.7,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,6.7,8.28,0.3639014185521319
1990-03-01,AR,6.7,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,6.7,8.28,0.3604500553811226
1990-03-01,AZ,5.3,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.2,8.28,0.34761089357692126
1990-03-01,CA,5.2,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.2,8.28,0.3284490643597585
1990-03-01,CO,5.1,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.1,8.28,0.2988614759687089
1990-03-01,CT,4.6,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.5,8.28,0.24908925016039574
1990-03-01,DE,3.4,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,3.5,8.28,0.19924098397915915
1990-03-01,GA,5.1,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.1,8.28,0.15075567228892833
1990-03-01,HI,2.7,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,2.7,8.28,0.1055289706022841
1990-03-01,IA,4.3,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.3,8.28,0.09374368665618465
1990-03-01,ID,5.3,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.3,8.28,0.09374368665618465
1990-03-01,IL,6.2,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,6.2,8.28,0.09653072991641531
1990-03-01,IN,5.1,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.1,8.28,0.09003366373792976
1990-03-01,KS,4.0,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.0,8.28,0.0887625364599376
1990-03-01,KY,5.7,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.8,8.28,0.07929614610996258
1990-03-01,LA,5.9,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,6.0,8.28,0.057735026919080445
1990-03-01,MA,5.6,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.4,8.28,0.04522670168681435
1990-03-01,MD,3.8,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,3.7,8.28,0.04522670168681435
1990-03-01,ME,4.5,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.5,8.28,0.057735026919080445
1990-03-01,MI,7.5,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,7.6,8.28,0.06685579234225442
1990-03-01,MN,4.5,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.6,8.28,0.0900336637379286
1990-03-01,MO,5.5,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.6,8.28,0.10552897060228322
1990-03-01,MS,7.3,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,7.4,8.28,0.13142574813460792
1990-03-01,MT,5.6,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.7,8.28,0.1370688833685203
1990-03-01,NC,3.6,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,3.5,8.28,0.1403458930534985
1990-03-01,ND,4.1,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.2,8.28,0.13113721705520598
1990-03-01,NH,4.7,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.6,8.28,0.11381803659596344
1990-03-01,NJ,4.6,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.6,8.28,0.09003366373793376
1990-03-01,NM,6.5,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,6.6,8.28,0.09003366373793376
1990-03-01,NV,4.5,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.5,8.28,0.09003366373793376
1990-03-01,NY,5.1,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.1,8.28,0.09847319278354076
1990-03-01,OH,5.7,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.8,8.28,0.09847319278354076
1990-03-01,OK,5.2,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.3,8.28,0.09653072991641813
1990-03-01,OR,5.0,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.1,8.28,0.09374368665618715
1990-03-01,PA,5.2,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.2,8.28,0.07929614610996773
1990-03-01,RI,5.7,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.6,8.28,0.07929614610996773
1990-03-01,SC,4.6,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.7,8.28,0.09374368665618714
1990-03-01,SD,3.6,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,3.7,8.28,0.10552897060228675
1990-03-01,TN,5.0,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.0,8.28,0.11645001528819486
1990-03-01,TX,6.2,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,6.3,8.28,0.12401124093727439
1990-03-01,UT,4.4,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.4,8.28,0.11934162828803363
1990-03-01,VA,3.9,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,3.9,8.28,0.10444659357349051
1990-03-01,VT,4.3,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.2,8.28,0.0900336637379354
1990-03-01,WA,5.1,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.2,8.28,0.10444659357349051
1990-03-01,WI,4.1,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,4.2,8.28,0.13371158468436015
1990-03-01,WV,8.0,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,8.0,8.28,0.1729862492346061
1990-03-01,WY,5.2,5.2,8.28,,66.7,128.6,0.0,8.59,,0.0,5.4,8.28,0.21672493389020028
1990-04-01,AK,7.2,5.4,8.26,,66.6,128.9,0.0,,,-0.019999999999999574,7.2,8.28,0.26053557891159973
1990-04-01,AL,6.7,5.4,8.26,,66.6,128.9,0.0,,,0.0,6.7,8.26,0.2954195783504228
1990-04-01,AR,6.7,5.4,8.26,,66.6,128.9,0.0,,,0.0,6.7,8.26,0.31139957766463194
1990-04-01,AZ,5.4,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.3,8.26,0.3232177237864764
1990-04-01,CA,5.3,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.2,8.26,0.32787192621512096
1990-04-01,CO,5.1,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.1,8.26,0.3214550253664529
1990-04-01,CT,4.7,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.6,8.26,0.3045115313535534
1990-04-01,DE,3.4,5.4,8.26,,66.6,128.9,0.0,,,0.0,3.4,8.26,0.2918073253904506
1990-04-01,GA,5.1,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.1,8.26,0.2712205856136644
1990-04-01,HI,2.7,5.4,8.26,,66.6,128.9,0.0,,,0.0,2.7,8.26,0.2570225788926312
1990-04-01,IA,4.3,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.3,8.26,0.23741027013094618
1990-04-01,ID,5.4,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.3,8.26,0.22696949467971175
1990-04-01,IL,6.1,5.4,8.26,,66.6,128.9,0.0,,,0.0,6.2,8.26,0.21373305355473243
1990-04-01,IN,5.0,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.1,8.26,0.21248885888800603
1990-04-01,KS,4.0,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.0,8.26,0.19286515936524506
1990-04-01,KY,5.7,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.7,8.26,0.1858640754569481
1990-04-01,LA,5.9,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.9,8.26,0.17837651700320092
1990-04-01,MA,5.8,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.6,8.26,0.18586407545694747
1990-04-01,MD,3.9,5.4,8.26,,66.6,128.9,0.0,,,0.0,3.8,8.26,0.17837651700320042
1990-04-01,ME,4.6,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.5,8.26,0.17298624923459552
1990-04-01,MI,7.4,5.4,8.26,,66.6,128.9,0.0,,,0.0,7.5,8.26,0.14847711791877466
1990-04-01,MN,4.5,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.5,8.26,0.13142574813459673
1990-04-01,MO,5.5,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.5,8.26,0.10730867399778411
1990-04-01,MS,7.3,5.4,8.26,,66.6,128.9,0.0,,,0.0,7.3,8.26,0.09653072991640026
1990-04-01,MT,5.7,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.6,8.26,0.08348471099373918
1990-04-01,NC,3.6,5.4,8.26,,66.6,128.9,0.0,,,0.0,3.6,8.26,0.08348471099373918
1990-04-01,ND,4.1,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.1,8.26,0.08348471099373918
1990-04-01,NH,4.9,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.7,8.26,0.08660254037850845
1990-04-01,NJ,4.7,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.6,8.26,0.09962049198961832
1990-04-01,NM,6.4,5.4,8.26,,66.6,128.9,0.0,,,0.0,6.5,8.26,0.09847319278352303
1990-04-01,NV,4.5,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.5,8.26,0.10444659357347248
1990-04-01,NY,5.0,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.1,8.26,0.11645001528817991
1990-04-01,OH,5.6,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.7,8.26,0.12880570286645074
1990-04-01,OK,5.2,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.2,8.26,0.14668044012465623
1990-04-01,OR,5.1,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.0,8.26,0.16236882817723286
1990-04-01,PA,5.2,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.2,8.26,0.16966991126269346
1990-04-01,RI,5.9,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.7,8.26,0.1815338686156307
1990-04-01,SC,4.7,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.6,8.26,0.19598237397557627
1990-04-01,SD,3.6,5.4,8.26,,66.6,128.9,0.0,,,0.0,3.6,8.26,0.2103388319888559
1990-04-01,TN,5.1,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.0,8.26,0.20652243256248767
1990-04-01,TX,6.2,5.4,8.26,,66.6,128.9,0.0,,,0.0,6.2,8.26,0.21532216876961058
1990-04-01,UT,4.4,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.4,8.26,0.20652243256248862
1990-04-01,VA,4.0,5.4,8.26,,66.6,128.9,0.0,,,0.0,3.9,8.26,0.19752253419588403
1990-04-01,VT,4.4,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.3,8.26,0.1831955405041804
1990-04-01,WA,5.1,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.1,8.26,0.1602554778528055
1990-04-01,WI,4.1,5.4,8.26,,66.6,128.9,0.0,,,0.0,4.1,8.26,0.14433756729745112
1990-04-01,WV,8.0,5.4,8.26,,66.6,128.9,0.0,,,0.0,8.0,8.26,0.12401124093726676
1990-04-01,WY,5.1,5.4,8.26,,66.6,128.9,0.0,,,0.0,5.2,8.26,0.09653072991640958
1990-05-01,AK,7.2,5.4,8.18,,66.6,129.1,0.0,9.08,,-0.08000000000000007,7.2,8.26,0.07929614610995829
1990-05-01,AL,6.7,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,6.7,8.18,0.0738548945876883
1990-05-01,AR,6.7,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,6.7,8.18,0.07929614610995873
1990-05-01,AZ,5.4,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.4,8.18,0.09653072991641058
1990-05-01,CA,5.4,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.3,8.18,0.10730867399779348
1990-05-01,CO,5.1,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.1,8.18,0.11645001528818823
1990-05-01,CT,4.7,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.7,8.18,0.13789543689029302
1990-05-01,DE,3.5,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,3.4,8.18,0.16764862244013207
1990-05-01,GA,5.2,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.1,8.18,0.18647446815245436
1990-05-01,HI,2.7,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,2.7,8.18,0.20056737702649022
1990-05-01,IA,4.3,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.3,8.18,0.20056737702649063
1990-05-01,ID,5.4,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.4,8.18,0.19924098397915932
1990-05-01,IL,6.2,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,6.1,8.18,0.1969463855669681
1990-05-01,IN,5.0,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.0,8.18,0.1928651593652517
1990-05-01,KS,4.1,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.0,8.18,0.18809249819916332
1990-05-01,KY,5.8,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.7,8.18,0.18504708655485166
1990-05-01,LA,5.9,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.9,8.18,0.1712255291076553
1990-05-01,MA,5.9,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.8,8.18,0.14354811251310637
1990-05-01,MD,4.0,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,3.9,8.18,0.11645001528819561
1990-05-01,ME,4.7,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.6,8.18,0.09962049198963731
1990-05-01,MI,7.4,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,7.4,8.18,0.07537783614454048
1990-05-01,MN,4.6,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.5,8.18,0.06513389472800829
1990-05-01,MO,5.5,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.5,8.18,0.051492865054589644
1990-05-01,MS,7.2,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,7.3,8.18,0.052223296786853425
1990-05-01,MT,5.8,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.7,8.18,0.05149286505458994
1990-05-01,NC,3.7,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,3.6,8.18,0.05149286505458994
1990-05-01,ND,4.1,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.1,8.18,0.052223296786853425
1990-05-01,NH,5.0,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.9,8.18,0.051492865054589644
1990-05-01,NJ,4.7,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.7,8.18,0.06215815605092656
1990-05-01,NM,6.4,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,6.4,8.18,0.0852802865423314
1990-05-01,NV,4.5,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.5,8.18,0.12154310870116028
1990-05-01,NY,5.0,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.0,8.18,0.1445997610962952
1990-05-01,OH,5.5,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.6,8.18,0.1602554778528112
1990-05-01,OK,5.0,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.2,8.18,0.18319554050418554
1990-05-01,OR,5.2,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.1,8.18,0.21105794120446897
1990-05-01,PA,5.2,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.2,8.18,0.23143164446682857
1990-05-01,RI,6.1,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.9,8.18,0.2657180095629104
1990-05-01,SC,4.7,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,4.7,8.18,0.3270622218626162
1990-05-01,SD,3.6,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,3.6,8.18,0.396480730549397
1990-05-01,TN,5.1,5.4,8.18,,66.6,129.1,0.0,9.08,,0.0,5.1,8.18,0.4420167280531376
