date,state,unemployment_rate,national_unemployment_rate,federal_funds_rate
1990-04-01,ME,4.6,5.4,8.26
1990-04-01,MI,7.4,5.4,8.26
1990-04-01,MN,4.5,5.4,8.26
1990-04-01,MO,5.5,5.4,8.26
1990-04-01,MS,7.3,5.4,8.26
1990-04-01,MT,5.7,5.4,8.26
1990-04-01,NC,3.6,5.4,8.26
1990-04-01,ND,4.1,5.4,8.26
1990-04-01,NH,4.9,5.4,8.26
1990-04-01,NJ,4.7,5.4,8.26
1990-04-01,NM,6.4,5.4,8.26
1990-04-01,NV,4.5,5.4,8.26
1990-04-01,NY,5.0,5.4,8.26
1990-04-01,OH,5.6,5.4,8.26
1990-04-01,OK,5.2,5.4,8.26
1990-04-01,OR,5.1,5.4,8.26
1990-04-01,PA,5.2,5.4,8.26
1990-04-01,RI,5.9,5.4,8.26
1990-04-01,SC,4.7,5.4,8.26
1990-04-01,SD,3.6,5.4,8.26
1990-04-01,TN,5.1,5.4,8.26
1990-04-01,TX,6.2,5.4,8.26
1990-04-01,UT,4.4,5.4,8.26
1990-04-01,VA,4.0,5.4,8.26
1990-04-01,VT,4.4,5.4,8.26
1990-04-01,WA,5.1,5.4,8.26
1990-04-01,WI,4.1,5.4,8.26
1990-04-01,WV,8.0,5.4,8.26
1990-04-01,WY,5.1,5.4,8.26
1990-05-01,AK,7.2,5.4,8.18
1990-05-01,AL,6.7,5.4,8.18
1990-05-01,AR,6.7,5.4,8.18
1990-05-01,AZ,5.4,5.4,8.18
1990-05-01,CA,5.4,5.4,8.18
1990-05-01,CO,5.1,5.4,8.18
1990-05-01,CT,4.7,5.4,8.18
1990-05-01,DE,3.5,5.4,8.18
1990-05-01,GA,5.2,5.4,8.18
1990-05-01,HI,2.7,5.4,8.18
1990-05-01,IA,4.3,5.4,8.18
1990-05-01,ID,5.4,5.4,8.18
1990-05-01,IL,6.2,5.4,8.18
1990-05-01,IN,5.0,5.4,8.18
1990-05-01,KS,4.1,5.4,8.18
1990-05-01,KY,5.8,5.4,8.18
1990-05-01,LA,5.9,5.4,8.18
1990-05-01,MA,5.9,5.4,8.18
1990-05-01,MD,4.0,5.4,8.18
1990-05-01,ME,4.7,5.4,8.18
1990-05-01,MI,7.4,5.4,8.18
1990-05-01,MN,4.6,5.4,8.18
1990-05-01,MO,5.5,5.4,8.18
1990-05-01,MS,7.2,5.4,8.18
1990-05-01,MT,5.8,5.4,8.18
1990-05-01,NC,3.7,5.4,8.18
1990-05-01,ND,4.1,5.4,8.18
1990-05-01,NH,5.0,5.4,8.18
1990-05-01,NJ,4.7,5.4,8.18
1990-05-01,NM,6.4,5.4,8.18
1990-05-01,NV,4.5,5.4,8.18
1990-05-01,NY,5.0,5.4,8.18
1990-05-01,OH,5.5,5.4,8.18
1990-05-01,OK,5.0,5.4,8.18
1990-05-01,OR,5.2,5.4,8.18
1990-05-01,PA,5.2,5.4,8.18
1990-05-01,RI,6.1,5.4,8.18
1990-05-01,SC,4.7,5.4,8.18
1990-05-01,SD,3.6,5.4,8.18
1990-05-01,TN,5.1,5.4,8.18
1990-05-01,TX,6.2,5.4,8.18
1990-05-01,UT,4.3,5.4,8.18
1990-05-01,VA,4.1,5.4,8.18
1990-05-01,VT,4.5,5.4,8.18
1990-05-01,WA,5.0,5.4,8.18
1990-05-01,WI,4.1,5.4,8.18
1990-05-01,WV,8.1,5.4,8.18
1990-05-01,WY,5.0,5.4,8.18
1990-06-01,AK,7.2,5.2,8.29
1990-06-01,AL,6.7,5.2,8.29
1990-06-01,AR,6.7,5.2,8.29
1990-06-01,AZ,5.4,5.2,8.29
1990-06-01,CA,5.5,5.2,8.29
1990-06-01,CO,5.2,5.2,8.29
1990-06-01,CT,4.8,5.2,8.29
1990-06-01,DE,3.6,5.2,8.29
1990-06-01,GA,5.3,5.2,8.29
1990-06-01,HI,2.7,5.2,8.29
1990-06-01,IA,4.3,5.2,8.29
1990-06-01,ID,5.5,5.2,8.29
1990-06-01,IL,6.2,5.2,8.29
1990-06-01,IN,5.0,5.2,8.29
1990-06-01,KS,4.1,5.2,8.29
1990-06-01,KY,5.8,5.2,8.29
1990-06-01,LA,6.0,5.2,8.29
1990-06-01,MA,6.1,5.2,8.29
1990-06-01,MD,4.2,5.2,8.29
1990-06-01,ME,4.9,5.2,8.29
1990-06-01,MI,7.4,5.2,8.29
1990-06-01,MN,4.6,5.2,8.29
1990-06-01,MO,5.6,5.2,8.29
1990-06-01,MS,7.3,5.2,8.29
1990-06-01,MT,5.9,5.2,8.29
1990-06-01,NC,3.9,5.2,8.29
1990-06-01,ND,4.1,5.2,8.29
1990-06-01,NH,5.2,5.2,8.29
1990-06-01,NJ,4.8,5.2,8.29
1990-06-01,NM,6.4,5.2,8.29
1990-06-01,NV,4.6,5.2,8.29
1990-06-01,NY,5.0,5.2,8.29
1990-06-01,OH,5.5,5.2,8.29
1990-06-01,OK,5.1,5.2,8.29
1990-06-01,OR,5.4,5.2,8.29
1990-06-01,PA,5.3,5.2,8.29
1990-06-01,RI,6.2,5.2,8.29
1990-06-01,SC,4.8,5.2,8.29
1990-06-01,SD,3.6,5.2,8.29
1990-06-01,TN,5.2,5.2,8.29
1990-06-01,TX,6.3,5.2,8.29
1990-06-01,UT,4.3,5.2,8.29
1990-06-01,VA,4.2,5.2,8.29
1990-06-01,VT,4.6,5.2,8.29
1990-06-01,WA,5.0,5.2,8.29
1990-06-01,WI,4.1,5.2,8.29
1990-06-01,WV,8.3,5.2,8.29
1990-06-01,WY,5.0,5.2,8.29
1990-07-01,AK,7.2,5.5,8.15
1990-07-01,AL,6.8,5.5,8.15
1990-07-01,AR,6.8,5.5,8.15
1990-07-01,AZ,5.3,5.5,8.15
1990-07-01,CA,5.7,5.5,8.15
1990-07-01,CO,5.2,5.5,8.15
1990-07-01,CT,4.9,5.5,8.15
1990-07-01,DE,3.7,5.5,8.15
1990-07-01,GA,5.4,5.5,8.15
1990-07-01,HI,2.6,5.5,8.15
1990-07-01,IA,4.4,5.5,8.15
1990-07-01,ID,5.6,5.5,8.15
1990-07-01,IL,6.3,5.5,8.15
1990-07-01,IN,5.0,5.5,8.15
1990-07-01,KS,4.2,5.5,8.15
1990-07-01,KY,5.9,5.5,8.15
1990-07-01,LA,6.2,5.5,8.15
1990-07-01,MA,6.4,5.5,8.15
1990-07-01,MD,4.4,5.5,8.15
1990-07-01,ME,5.2,5.5,8.15
1990-07-01,MI,7.5,5.5,8.15
1990-07-01,MN,4.7,5.5,8.15
1990-07-01,MO,5.7,5.5,8.15
1990-07-01,MS,7.3,5.5,8.15
1990-07-01,MT,6.0,5.5,8.15
1990-07-01,NC,4.0,5.5,8.15
1990-07-01,ND,4.1,5.5,8.15
1990-07-01,NH,5.3,5.5,8.15
1990-07-01,NJ,4.9,5.5,8.15
1990-07-01,NM,6.5,5.5,8.15
1990-07-01,NV,4.7,5.5,8.15
1990-07-01,NY,5.1,5.5,8.15
1990-07-01,OH,5.5,5.5,8.15
1990-07-01,OK,5.2,5.5,8.15
1990-07-01,OR,5.5,5.5,8.15
1990-07-01,PA,5.4,5.5,8.15
1990-07-01,RI,6.3,5.5,8.15
1990-07-01,SC,4.9,5.5,8.15
1990-07-01,SD,3.6,5.5,8.15
1990-07-01,TN,5.3,5.5,8.15
1990-07-01,TX,6.3,5.5,8.15
1990-07-01,UT,4.3,5.5,8.15
1990-07-01,VA,4.4,5.5,8.15
1990-07-01,VT,4.7,5.5,8.15
1990-07-01,WA,5.0,5.5,8.15
1990-07-01,WI,4.2,5.5,8.15
1990-07-01,WV,8.5,5.5,8.15
1990-07-01,WY,5.0,5.5,8.15
1990-08-01,AK,7.2,5.7,8.13
1990-08-01,AL,6.9,5.7,8.13
1990-08-01,AR,6.9,5.7,8.13
1990-08-01,AZ,5.2,5.7,8.13
1990-08-01,CA,5.9,5.7,8.13
1990-08-01,CO,5.1,5.7,8.13
1990-08-01,CT,5.0,5.7,8.13
1990-08-01,DE,4.0,5.7,8.13
1990-08-01,GA,5.5,5.7,8.13
1990-08-01,HI,2.6,5.7,8.13
1990-08-01,IA,4.4,5.7,8.13
1990-08-01,ID,5.6,5.7,8.13
1990-08-01,IL,6.4,5.7,8.13
1990-08-01,IN,5.0,5.7,8.13
1990-08-01,KS,4.3,5.7,8.13
1990-08-01,KY,6.0,5.7,8.13
1990-08-01,LA,6.4,5.7,8.13
1990-08-01,MA,6.6,5.7,8.13
1990-08-01,MD,4.6,5.7,8.13
1990-08-01,ME,5.5,5.7,8.13
1990-08-01,MI,7.6,5.7,8.13
1990-08-01,MN,4.8,5.7,8.13
1990-08-01,MO,6.0,5.7,8.13
1990-08-01,MS,7.5,5.7,8.13
1990-08-01,MT,6.2,5.7,8.13
1990-08-01,NC,4.2,5.7,8.13
1990-08-01,ND,4.2,5.7,8.13
1990-08-01,NH,5.4,5.7,8.13
1990-08-01,NJ,5.1,5.7,8.13
1990-08-01,NM,6.6,5.7,8.13
1990-08-01,NV,4.9,5.7,8.13
1990-08-01,NY,5.3,5.7,8.13
1990-08-01,OH,5.6,5.7,8.13
1990-08-01,OK,5.3,5.7,8.13
1990-08-01,OR,5.6,5.7,8.13
1990-08-01,PA,5.5,5.7,8.13
1990-08-01,RI,6.4,5.7,8.13
1990-08-01,SC,4.9,5.7,8.13
1990-08-01,SD,3.6,5.7,8.13
1990-08-01,TN,5.4,5.7,8.13
1990-08-01,TX,6.4,5.7,8.13
1990-08-01,UT,4.3,5.7,8.13
1990-08-01,VA,4.6,5.7,8.13
1990-08-01,VT,4.9,5.7,8.13
1990-08-01,WA,5.0,5.7,8.13
1990-08-01,WI,4.4,5.7,8.13
1990-08-01,WV,8.8,5.7,8.13
1990-08-01,WY,5.0,5.7,8.13
1990-09-01,AK,7.2,5.9,8.2
1990-09-01,AL,6.9,5.9,8.2
1990-09-01,AR,7.0,5.9,8.2
1990-09-01,AZ,5.2,5.9,8.2
1990-09-01,CA,6.1,5.9,8.2
1990-09-01,CO,5.1,5.9,8.2
1990-09-01,CT,5.1,5.9,8.2
1990-09-01,DE,5.3,5.9,8.2
1990-09-01,GA,5.5,5.9,8.2
1990-09-01,HI,2.5,5.9,8.2
1990-09-01,IA,4.5,5.9,8.2
1990-09-01,ID,5.7,5.9,8.2
1990-09-01,IL,6.4,5.9,8.2
1990-09-01,IN,5.0,5.9,8.2
1990-09-01,KS,4.5,5.9,8.2
1990-09-01,KY,6.2,5.9,8.2
1990-09-01,LA,6.6,5.9,8.2
1990-09-01,MA,6.9,5.9,8.2
1990-09-01,MD,4.9,5.9,8.2
1990-09-01,ME,5.8,5.9,8.2
1990-09-01,MI,7.7,5.9,8.2
1990-09-01,MN,4.9,5.9,8.2
1990-09-01,MO,6.2,5.9,8.2
1990-09-01,MS,7.7,5.9,8.2
1990-09-01,MT,6.3,5.9,8.2
1990-09-01,NC,4.5,5.9,8.2
1990-09-01,ND,4.2,5.9,8.2
1990-09-01,NH,5.6,5.9,8.2
1990-09-01,NJ,5.3,5.9,8.2
1990-09-01,NM,6.7,5.9,8.2
1990-09-01,NV,5.0,5.9,8.2
1990-09-01,NY,5.4,5.9,8.2
1990-09-01,OH,5.7,5.9,8.2
1990-09-01,OK,5.5,5.9,8.2
1990-09-01,OR,5.7,5.9,8.2
1990-09-01,PA,5.7,5.9,8.2
1990-09-01,RI,6.5,5.9,8.2
1990-09-01,SC,5.0,5.9,8.2
1990-09-01,SD,3.6,5.9,8.2
1990-09-01,TN,5.5,5.9,8.2
1990-09-01,TX,6.4,5.9,8.2
1990-09-01,UT,4.3,5.9,8.2
1990-09-01,VA,4.8,5.9,8.2
1990-09-01,VT,5.1,5.9,8.2
1990-09-01,WA,5.0,5.9,8.2
1990-09-01,WI,4.6,5.9,8.2
1990-09-01,WV,9.1,5.9,8.2
1990-09-01,WY,5.1,5.9,8.2
1990-10-01,AK,7.3,5.9,8.11
1990-10-01,AL,7.0,5.9,8.11
1990-10-01,AR,7.1,5.9,8.11
1990-10-01,AZ,5.2,5.9,8.11
1990-10-01,CA,6.4,5.9,8.11
1990-10-01,CO,5.1,5.9,8.11
1990-10-01,CT,5.3,5.9,8.11
1990-10-01,DE,5.8,5.9,8.11
1990-10-01,GA,5.6,5.9,8.11
1990-10-01,HI,2.5,5.9,8.11
1990-10-01,IA,4.6,5.9,8.11
1990-10-01,ID,5.8,5.9,8.11
1990-10-01,IL,6.5,5.9,8.11
1990-10-01,IN,5.2,5.9,8.11
1990-10-01,KS,4.6,5.9,8.11
1990-10-01,KY,6.4,5.9,8.11
1990-10-01,LA,6.8,5.9,8.11
1990-10-01,MA,7.2,5.9,8.11
1990-10-01,MD,5.0,5.9,8.11
1990-10-01,ME,6.2,5.9,8.11
1990-10-01,MI,7.9,5.9,8.11
1990-10-01,MN,4.9,5.9,8.11
1990-10-01,MO,6.4,5.9,8.11
1990-10-01,MS,7.9,5.9,8.11
1990-10-01,MT,6.5,5.9,8.11
1990-10-01,NC,4.7,5.9,8.11
1990-10-01,ND,4.2,5.9,8.11
1990-10-01,NH,5.8,5.9,8.11
1990-10-01,NJ,5.6,5.9,8.11
1990-10-01,NM,6.9,5.9,8.11
1990-10-01,NV,5.2,5.9,8.11
1990-10-01,NY,5.7,5.9,8.11
1990-10-01,OH,5.8,5.9,8.11
1990-10-01,OK,5.7,5.9,8.11
1990-10-01,OR,5.7,5.9,8.11
1990-10-01,PA,5.9,5.9,8.11
1990-10-01,RI,6.6,5.9,8.11
1990-10-01,SC,5.1,5.9,8.11
1990-10-01,SD,3.6,5.9,8.11
1990-10-01,TN,5.7,5.9,8.11
1990-10-01,TX,6.5,5.9,8.11
1990-10-01,UT,4.3,5.9,8.11
1990-10-01,VA,5.0,5.9,8.11
1990-10-01,VT,5.4,5.9,8.11
1990-10-01,WA,5.2,5.9,8.11
1990-10-01,WI,4.7,5.9,8.11
1990-10-01,WV,9.4,5.9,8.11
1990-10-01,WY,5.1,5.9,8.11
1990-11-01,AK,7.4,6.2,7.81
1990-11-01,AL,7.0,6.2,7.81
1990-11-01,AR,7.2,6.2,7.81
1990-11-01,AZ,5.1,6.2,7.81
1990-11-01,CA,6.6,6.2,7.81
1990-11-01,CO,5.1,6.2,7.81
1990-11-01,CT,5.4,6.2,7.81
1990-11-01,DE,6.2,6.2,7.81
1990-11-01,GA,5.7,6.2,7.81
1990-11-01,HI,2.5,6.2,7.81
1990-11-01,IA,4.6,6.2,7.81
1990-11-01,ID,6.0,6.2,7.81
1990-11-01,IL,6.5,6.2,7.81
1990-11-01,IN,5.4,6.2,7.81
1990-11-01,KS,4.7,6.2,7.81
1990-11-01,KY,6.6,6.2,7.81
1990-11-01,LA,6.9,6.2,7.81
1990-11-01,MA,7.5,6.2,7.81
1990-11-01,MD,5.2,6.2,7.81
1990-11-01,ME,6.7,6.2,7.81
1990-11-01,MI,8.1,6.2,7.81
1990-11-01,MN,5.0,6.2,7.81
1990-11-01,MO,6.6,6.2,7.81
1990-11-01,MS,8.0,6.2,7.81
1990-11-01,MT,6.6,6.2,7.81
1990-11-01,NC,5.0,6.2,7.81
1990-11-01,ND,4.2,6.2,7.81
1990-11-01,NH,5.9,6.2,7.81
1990-11-01,NJ,5.8,6.2,7.81
1990-11-01,NM,7.1,6.2,7.81
1990-11-01,NV,5.3,6.2,7.81
1990-11-01,NY,5.9,6.2,7.81
1990-11-01,OH,6.0,6.2,7.81
1990-11-01,OK,5.9,6.2,7.81
1990-11-01,OR,5.7,6.2,7.81
1990-11-01,PA,6.1,6.2,7.81
1990-11-01,RI,6.9,6.2,7.81
1990-11-01,SC,5.3,6.2,7.81
1990-11-01,SD,3.6,6.2,7.81
1990-11-01,TN,5.9,6.2,7.81
1990-11-01,TX,6.6,6.2,7.81
1990-11-01,UT,4.4,6.2,7.81
1990-11-01,VA,5.2,6.2,7.81
1990-11-01,VT,5.6,6.2,7.81
1990-11-01,WA,5.4,6.2,7.81
1990-11-01,WI,5.0,6.2,7.81
1990-11-01,WV,9.6,6.2,7.81
1990-11-01,WY,5.2,6.2,7.81
1990-12-01,AK,7.5,6.3,7.31
1990-12-01,AL,7.1,6.3,7.31
1990-12-01,AR,7.3,6.3,7.31
1990-12-01,AZ,5.0,6.3,7.31
1990-12-01,CA,6.9,6.3,7.31
1990-12-01,CO,5.1,6.3,7.31
1990-12-01,CT,5.6,6.3,7.31
1990-12-01,DE,6.4,6.3,7.31
1990-12-01,GA,5.7,6.3,7.31
1990-12-01,HI,2.5,6.3,7.31
1990-12-01,IA,4.7,6.3,7.31
1990-12-01,ID,6.1,6.3,7.31
1990-12-01,IL,6.5,6.3,7.31
1990-12-01,IN,5.6,6.3,7.31
1990-12-01,KS,4.7,6.3,7.31
1990-12-01,KY,6.8,6.3,7.31
1990-12-01,LA,7.0,6.3,7.31
1990-12-01,MA,7.8,6.3,7.31
1990-12-01,MD,5.4,6.3,7.31
1990-12-01,ME,7.2,6.3,7.31
1990-12-01,MI,8.4,6.3,7.31
1990-12-01,MN,5.1,6.3,7.31
1990-12-01,MO,6.7,6.3,7.31
1990-12-01,MS,8.2,6.3,7.31
1990-12-01,MT,6.8,6.3,7.31
1990-12-01,NC,5.3,6.3,7.31
1990-12-01,ND,4.2,6.3,7.31
1990-12-01,NH,6.1,6.3,7.31
1990-12-01,NJ,6.0,6.3,7.31
1990-12-01,NM,7.2,6.3,7.31
1990-12-01,NV,5.4,6.3,7.31
1990-12-01,NY,6.2,6.3,7.31
1990-12-01,OH,6.3,6.3,7.31
1990-12-01,OK,6.0,6.3,7.31
1990-12-01,OR,5.7,6.3,7.31
1990-12-01,PA,6.3,6.3,7.31
1990-12-01,RI,7.1,6.3,7.31
1990-12-01,SC,5.4,6.3,7.31
1990-12-01,SD,3.6,6.3,7.31
1990-12-01,TN,6.2,6.3,7.31
1990-12-01,TX,6.7,6.3,7.31
1990-12-01,UT,4.5,6.3,7.31
1990-12-01,VA,5.4,6.3,7.31
1990-12-01,VT,5.9,6.3,7.31
1990-12-01,WA,5.6,6.3,7.31
1990-12-01,WI,5.2,6.3,7.31
1990-12-01,WV,9.8,6.3,7.31
1990-12-01,WY,5.2,6.3,7.31
1991-01-01,AK,7.6,6.4,6.91
1991-01-01,AL,7.1,6.4,6.91
1991-01-01,AR,7.4,6.4,6.91
1991-01-01,AZ,4.9,6.4,6.91
1991-01-01,CA,7.2,6.4,6.91
1991-01-01,CO,5.1,6.4,6.91
1991-01-01,CT,5.7,6.4,6.91
1991-01-01,DE,6.4,6.4,6.91
1991-01-01,GA,5.7,6.4,6.91
1991-01-01,HI,2.5,6.4,6.91
1991-01-01,IA,4.8,6.4,6.91
1991-01-01,ID,6.3,6.4,6.91
1991-01-01,IL,6.5,6.4,6.91
1991-01-01,IN,5.7,6.4,6.91
1991-01-01,KS,4.7,6.4,6.91
1991-01-01,KY,7.1,6.4,6.91
1991-01-01,LA,7.1,6.4,6.91
1991-01-01,MA,8.1,6.4,6.91
1991-01-01,MD,5.5,6.4,6.91
1991-01-01,ME,7.7,6.4,6.91
1991-01-01,MI,8.8,6.4,6.91
1991-01-01,MN,5.1,6.4,6.91
1991-01-01,MO,6.8,6.4,6.91
1991-01-01,MS,8.4,6.4,6.91
1991-01-01,MT,7.0,6.4,6.91
1991-01-01,NC,5.5,6.4,6.91
1991-01-01,ND,4.2,6.4,6.91
1991-01-01,NH,6.3,6.4,6.91
1991-01-01,NJ,6.2,6.4,6.91
1991-01-01,NM,7.4,6.4,6.91
1991-01-01,NV,5.5,6.4,6.91
1991-01-01,NY,6.4,6.4,6.91
1991-01-01,OH,6.5,6.4,6.91
1991-01-01,OK,6.1,6.4,6.91
1991-01-01,OR,5.7,6.4,6.91
1991-01-01,PA,6.6,6.4,6.91
1991-01-01,RI,7.4,6.4,6.91
1991-01-01,SC,5.6,6.4,6.91
1991-01-01,SD,3.6,6.4,6.91
1991-01-01,TN,6.4,6.4,6.91
1991-01-01,TX,6.8,6.4,6.91
1991-01-01,UT,4.6,6.4,6.91
1991-01-01,VA,5.6,6.4,6.91
1991-01-01,VT,6.2,6.4,6.91
1991-01-01,WA,5.7,6.4,6.91
1991-01-01,WI,5.3,6.4,6.91
1991-01-01,WV,10.0,6.4,6.91
1991-01-01,WY,5.2,6.4,6.91
1991-02-01,AK,7.7,6.6,6.25
1991-02-01,AL,7.1,6.6,6.25
1991-02-01,AR,7.4,6.6,6.25
1991-02-01,AZ,4.9,6.6,6.25
1991-02-01,CA,7.4,6.6,6.25
1991-02-01,CO,5.1,6.6,6.25
1991-02-01,CT,5.9,6.6,6.25
1991-02-01,DE,6.5,6.6,6.25
