date,total_private_employment
2004-08-01,110313.0
2004-09-01,110454.0
2004-10-01,110773.0
2004-11-01,110811.0
2004-12-01,110937.0
2005-01-01,111046.0
2005-02-01,111290.0
2005-03-01,111414.0
2005-04-01,111766.0
2005-05-01,111908.0
2005-06-01,112185.0
2005-07-01,112443.0
2005-08-01,112639.0
2005-09-01,112707.0
2005-10-01,112812.0
2005-11-01,113138.0
2005-12-01,113280.0
2006-01-01,113580.0
2006-02-01,113855.0
2006-03-01,114135.0
2006-04-01,114291.0
2006-05-01,114323.0
2006-06-01,114415.0
2006-07-01,114556.0
2006-08-01,114681.0
2006-09-01,114744.0
2006-10-01,114775.0
2006-11-01,114977.0
2006-12-01,115161.0
2007-01-01,115377.0
2007-02-01,115429.0
2007-03-01,115635.0
2007-04-01,115672.0
2007-05-01,115799.0
2007-06-01,115863.0
2007-07-01,115873.0
2007-08-01,115787.0
2007-09-01,115820.0
2007-10-01,115878.0
2007-11-01,115956.0
2007-12-01,116019.0
2008-01-01,116003.0
2008-02-01,115912.0
2008-03-01,115816.0
2008-04-01,115590.0
2008-05-01,115368.0
2008-06-01,115183.0
2008-07-01,114929.0
2008-08-01,114644.0
2008-09-01,114223.0
2008-10-01,113742.0
2008-11-01,112981.0
2008-12-01,112291.0
2009-01-01,111500.0
2009-02-01,110742.0
2009-03-01,109934.0
2009-04-01,109145.0
2009-05-01,108849.0
2009-06-01,108432.0
2009-07-01,108141.0
2009-08-01,107935.0
2009-09-01,107795.0
2009-10-01,107537.0
2009-11-01,107524.0
2009-12-01,107326.0
