date,civilian_labor_force
2007-09-01,153414.0
2007-10-01,153183.0
2007-11-01,153835.0
2007-12-01,153918.0
2008-01-01,154063.0
2008-02-01,153653.0
2008-03-01,153908.0
2008-04-01,153769.0
2008-05-01,154303.0
2008-06-01,154313.0
2008-07-01,154469.0
2008-08-01,154641.0
2008-09-01,154570.0
2008-10-01,154876.0
2008-11-01,154639.0
2008-12-01,154655.0
2009-01-01,154210.0
2009-02-01,154538.0
2009-03-01,154133.0
2009-04-01,154509.0
2009-05-01,154747.0
2009-06-01,154716.0
2009-07-01,154502.0
2009-08-01,154307.0
2009-09-01,153827.0
2009-10-01,153784.0
2009-11-01,153878.0
2009-12-01,153111.0
