date,employment_level
2007-12-01,146273.0
2008-01-01,146378.0
2008-02-01,146156.0
2008-03-01,146086.0
2008-04-01,146132.0
2008-05-01,145908.0
2008-06-01,145737.0
2008-07-01,145532.0
2008-08-01,145203.0
2008-09-01,145076.0
2008-10-01,144802.0
2008-11-01,144100.0
2008-12-01,143369.0
2009-01-01,142152.0
2009-02-01,141640.0
2009-03-01,140707.0
2009-04-01,140656.0
2009-05-01,140248.0
2009-06-01,140009.0
2009-07-01,139901.0
2009-08-01,139492.0
2009-09-01,138818.0
2009-10-01,138432.0
2009-11-01,138659.0
2009-12-01,138013.0
