date,construction_employment
1999-06-01,6547.0
1999-07-01,6571.0
1999-08-01,6586.0
1999-09-01,6613.0
1999-10-01,6640.0
1999-11-01,6687.0
1999-12-01,6709.0
2000-01-01,6752.0
2000-02-01,6730.0
2000-03-01,6811.0
2000-04-01,6794.0
2000-05-01,6770.0
2000-06-01,6778.0
2000-07-01,6794.0
2000-08-01,6796.0
2000-09-01,6807.0
2000-10-01,6814.0
2000-11-01,6817.0
2000-12-01,6792.0
2001-01-01,6824.0
2001-02-01,6841.0
2001-03-01,6862.0
2001-04-01,6844.0
2001-05-01,6849.0
2001-06-01,6840.0
2001-07-01,6845.0
2001-08-01,6827.0
2001-09-01,6813.0
2001-10-01,6804.0
2001-11-01,6784.0
2001-12-01,6785.0
2002-01-01,6775.0
2002-02-01,6766.0
2002-03-01,6755.0
2002-04-01,6710.0
2002-05-01,6684.0
2002-06-01,6701.0
2002-07-01,6688.0
2002-08-01,6701.0
2002-09-01,6702.0
2002-10-01,6689.0
2002-11-01,6713.0
2002-12-01,6700.0
2003-01-01,6704.0
2003-02-01,6667.0
2003-03-01,6654.0
2003-04-01,6689.0
2003-05-01,6706.0
2003-06-01,6723.0
2003-07-01,6735.0
2003-08-01,6760.0
2003-09-01,6783.0
2003-10-01,6784.0
2003-11-01,6796.0
2003-12-01,6827.0
2004-01-01,6848.0
2004-02-01,6838.0
2004-03-01,6887.0
2004-04-01,6901.0
2004-05-01,6948.0
2004-06-01,6962.0
2004-07-01,6977.0
2004-08-01,7003.0
2004-09-01,7029.0
2004-10-01,7077.0
2004-11-01,7091.0
2004-12-01,7117.0
2005-01-01,7095.0
2005-02-01,7153.0
2005-03-01,7181.0
2005-04-01,7266.0
2005-05-01,7294.0
2005-06-01,7333.0
2005-07-01,7353.0
2005-08-01,7394.0
2005-09-01,7415.0
2005-10-01,7460.0
2005-11-01,7524.0
2005-12-01,7533.0
2006-01-01,7601.0
2006-02-01,7664.0
2006-03-01,7689.0
2006-04-01,7726.0
2006-05-01,7713.0
2006-06-01,7699.0
2006-07-01,7712.0
2006-08-01,7720.0
2006-09-01,7718.0
2006-10-01,7682.0
2006-11-01,7666.0
2006-12-01,7685.0
2007-01-01,7725.0
2007-02-01,7626.0
2007-03-01,7706.0
2007-04-01,7686.0
2007-05-01,7673.0
2007-06-01,7687.0
2007-07-01,7660.0
2007-08-01,7610.0
2007-09-01,7577.0
2007-10-01,7565.0
2007-11-01,7523.0
2007-12-01,7490.0
2008-01-01,7476.0
2008-02-01,7453.0
2008-03-01,7406.0
2008-04-01,7327.0
2008-05-01,7274.0
2008-06-01,7213.0
2008-07-01,7160.0
2008-08-01,7114.0
2008-09-01,7044.0
2008-10-01,6967.0
2008-11-01,6813.0
2008-12-01,6701.0
2009-01-01,6567.0
2009-02-01,6446.0
2009-03-01,6291.0
2009-04-01,6154.0
2009-05-01,6100.0
2009-06-01,6010.0
2009-07-01,5932.0
2009-08-01,5855.0
2009-09-01,5787.0
2009-10-01,5716.0
2009-11-01,5696.0
2009-12-01,5654.0
