date,total_nonfarm_employment
1997-01-01,121356.0
1997-02-01,121673.0
1997-03-01,121991.0
1997-04-01,122289.0
1997-05-01,122560.0
1997-06-01,122816.0
1997-07-01,123114.0
1997-08-01,123087.0
1997-09-01,123575.0
1997-10-01,123924.0
1997-11-01,124225.0
1997-12-01,124549.0
1998-01-01,124806.0
1998-02-01,125017.0
1998-03-01,125165.0
1998-04-01,125445.0
1998-05-01,125845.0
1998-06-01,126076.0
1998-07-01,126212.0
1998-08-01,126546.0
1998-09-01,126744.0
1998-10-01,126949.0
1998-11-01,127222.0
1998-12-01,127595.0
1999-01-01,127699.0
1999-02-01,128117.0
1999-03-01,128234.0
1999-04-01,128595.0
1999-05-01,128813.0
1999-06-01,129084.0
1999-07-01,129422.0
1999-08-01,129572.0
1999-09-01,129771.0
1999-10-01,130178.0
1999-11-01,130466.0
1999-12-01,130783.0
2000-01-01,131011.0
2000-02-01,131120.0
2000-03-01,131604.0
2000-04-01,131884.0
2000-05-01,132105.0
2000-06-01,132063.0
2000-07-01,132228.0
2000-08-01,132234.0
2000-09-01,132337.0
2000-10-01,132352.0
2000-11-01,132556.0
2000-12-01,132716.0
2001-01-01,132703.0
2001-02-01,132788.0
2001-03-01,132751.0
2001-04-01,132458.0
2001-05-01,132408.0
2001-06-01,132300.0
2001-07-01,132172.0
2001-08-01,132021.0
2001-09-01,131763.0
2001-10-01,131452.0
2001-11-01,131144.0
2001-12-01,130983.0
2002-01-01,130859.0
2002-02-01,130737.0
2002-03-01,130722.0
2002-04-01,130616.0
2002-05-01,130632.0
2002-06-01,130674.0
2002-07-01,130584.0
2002-08-01,130581.0
2002-09-01,130502.0
2002-10-01,130617.0
2002-11-01,130616.0
2002-12-01,130465.0
2003-01-01,130573.0
2003-02-01,130441.0
2003-03-01,130235.0
2003-04-01,130173.0
2003-05-01,130197.0
2003-06-01,130186.0
2003-07-01,130184.0
2003-08-01,130153.0
2003-09-01,130252.0
2003-10-01,130439.0
2003-11-01,130480.0
2003-12-01,130589.0
2004-01-01,130756.0
2004-02-01,130821.0
2004-03-01,131140.0
2004-04-01,131412.0
2004-05-01,131697.0
2004-06-01,131794.0
2004-07-01,131854.0
2004-08-01,131939.0
2004-09-01,132089.0
2004-10-01,132429.0
2004-11-01,132503.0
2004-12-01,132630.0
2005-01-01,132781.0
2005-02-01,133034.0
2005-03-01,133154.0
2005-04-01,133520.0
2005-05-01,133689.0
2005-06-01,133948.0
2005-07-01,134300.0
2005-08-01,134502.0
2005-09-01,134552.0
2005-10-01,134641.0
2005-11-01,134997.0
2005-12-01,135159.0
2006-01-01,135427.0
2006-02-01,135733.0
2006-03-01,136038.0
2006-04-01,136210.0
2006-05-01,136249.0
2006-06-01,136337.0
2006-07-01,136529.0
2006-08-01,136692.0
2006-09-01,136826.0
2006-10-01,136843.0
2006-11-01,137060.0
2006-12-01,137249.0
2007-01-01,137472.0
2007-02-01,137560.0
2007-03-01,137784.0
2007-04-01,137847.0
2007-05-01,137992.0
2007-06-01,138070.0
2007-07-01,138044.0
2007-08-01,138013.0
2007-09-01,138099.0
2007-10-01,138175.0
2007-11-01,138290.0
2007-12-01,138395.0
2008-01-01,138391.0
2008-02-01,138329.0
2008-03-01,138259.0
2008-04-01,138040.0
2008-05-01,137851.0
2008-06-01,137700.0
2008-07-01,137497.0
2008-08-01,137211.0
2008-09-01,136760.0
2008-10-01,136291.0
2008-11-01,135541.0
2008-12-01,134847.0
2009-01-01,134079.0
2009-02-01,133318.0
2009-03-01,132494.0
2009-04-01,131822.0
2009-05-01,131466.0
2009-06-01,131008.0
2009-07-01,130662.0
2009-08-01,130472.0
2009-09-01,130246.0
2009-10-01,130061.0
2009-11-01,130057.0
2009-12-01,129808.0
