date,state,unemployment_rate
1990-06-01,MD,4.2
1990-06-01,ME,4.9
1990-06-01,MI,7.4
1990-06-01,MN,4.6
1990-06-01,MS,7.3
1990-07-01,AK,7.2
1990-07-01,AL,6.8
1990-07-01,AR,6.8
1990-07-01,AZ,5.3
1990-07-01,CA,5.7
1990-07-01,CO,5.2
1990-07-01,CT,4.9
1990-07-01,DE,3.7
1990-07-01,GA,5.4
1990-07-01,HI,2.6
1990-07-01,IA,4.4
1990-07-01,ID,5.6
1990-07-01,IL,6.3
1990-07-01,IN,5.0
1990-07-01,KS,4.2
1990-07-01,KY,5.9
1990-07-01,LA,6.2
1990-07-01,MA,6.4
1990-07-01,MD,4.4
1990-07-01,ME,5.2
1990-07-01,MI,7.5
1990-07-01,MN,4.7
1990-07-01,MS,7.3
1990-08-01,AK,7.2
1990-08-01,AL,6.9
1990-08-01,AR,6.9
1990-08-01,AZ,5.2
1990-08-01,CA,5.9
1990-08-01,CO,5.1
1990-08-01,CT,5.0
1990-08-01,DE,4.0
1990-08-01,GA,5.5
1990-08-01,HI,2.6
1990-08-01,IA,4.4
1990-08-01,ID,5.6
1990-08-01,IL,6.4
1990-08-01,IN,5.0
1990-08-01,KS,4.3
1990-08-01,KY,6.0
1990-08-01,LA,6.4
1990-08-01,MA,6.6
1990-08-01,MD,4.6
1990-08-01,ME,5.5
1990-08-01,MI,7.6
1990-08-01,MN,4.8
1990-08-01,MS,7.5
1990-09-01,AK,7.2
1990-09-01,AL,6.9
1990-09-01,AR,7.0
1990-09-01,AZ,5.2
1990-09-01,CA,6.1
1990-09-01,CO,5.1
1990-09-01,CT,5.1
1990-09-01,DE,5.3
1990-09-01,GA,5.5
1990-09-01,HI,2.5
1990-09-01,IA,4.5
1990-09-01,ID,5.7
1990-09-01,IL,6.4
1990-09-01,IN,5.0
1990-09-01,KS,4.5
1990-09-01,KY,6.2
1990-09-01,LA,6.6
1990-09-01,MA,6.9
1990-09-01,MD,4.9
1990-09-01,ME,5.8
1990-09-01,MI,7.7
1990-09-01,MN,4.9
1990-09-01,MS,7.7
1990-10-01,AK,7.3
1990-10-01,AL,7.0
1990-10-01,AR,7.1
1990-10-01,AZ,5.2
1990-10-01,CA,6.4
1990-10-01,CO,5.1
1990-10-01,CT,5.3
1990-10-01,DE,5.8
1990-10-01,GA,5.6
1990-10-01,HI,2.5
1990-10-01,IA,4.6
1990-10-01,ID,5.8
1990-10-01,IL,6.5
1990-10-01,IN,5.2
1990-10-01,KS,4.6
1990-10-01,KY,6.4
1990-10-01,LA,6.8
1990-10-01,MA,7.2
1990-10-01,MD,5.0
1990-10-01,ME,6.2
1990-10-01,MI,7.9
1990-10-01,MN,4.9
1990-10-01,MS,7.9
1990-11-01,AK,7.4
1990-11-01,AL,7.0
1990-11-01,AR,7.2
1990-11-01,AZ,5.1
1990-11-01,CA,6.6
1990-11-01,CO,5.1
1990-11-01,CT,5.4
1990-11-01,DE,6.2
1990-11-01,GA,5.7
1990-11-01,HI,2.5
1990-11-01,IA,4.6
1990-11-01,ID,6.0
1990-11-01,IL,6.5
1990-11-01,IN,5.4
1990-11-01,KS,4.7
1990-11-01,KY,6.6
1990-11-01,LA,6.9
1990-11-01,MA,7.5
1990-11-01,MD,5.2
1990-11-01,ME,6.7
1990-11-01,MI,8.1
1990-11-01,MN,5.0
1990-11-01,MS,8.0
1990-12-01,AK,7.5
1990-12-01,AL,7.1
1990-12-01,AR,7.3
1990-12-01,AZ,5.0
1990-12-01,CA,6.9
1990-12-01,CO,5.1
1990-12-01,CT,5.6
1990-12-01,DE,6.4
1990-12-01,GA,5.7
1990-12-01,HI,2.5
1990-12-01,IA,4.7
1990-12-01,ID,6.1
1990-12-01,IL,6.5
1990-12-01,IN,5.6
1990-12-01,KS,4.7
1990-12-01,KY,6.8
1990-12-01,LA,7.0
1990-12-01,MA,7.8
1990-12-01,MD,5.4
1990-12-01,ME,7.2
1990-12-01,MI,8.4
1990-12-01,MN,5.1
1990-12-01,MS,8.2
1991-01-01,AK,7.6
1991-01-01,AL,7.1
1991-01-01,AR,7.4
1991-01-01,AZ,4.9
1991-01-01,CA,7.2
1991-01-01,CO,5.1
1991-01-01,CT,5.7
1991-01-01,DE,6.4
1991-01-01,GA,5.7
1991-01-01,HI,2.5
1991-01-01,IA,4.8
1991-01-01,ID,6.3
1991-01-01,IL,6.5
1991-01-01,IN,5.7
1991-01-01,KS,4.7
1991-01-01,KY,7.1
1991-01-01,LA,7.1
1991-01-01,MA,8.1
1991-01-01,MD,5.5
1991-01-01,ME,7.7
1991-01-01,MI,8.8
1991-01-01,MN,5.1
1991-01-01,MS,8.4
1991-02-01,AK,7.7
1991-02-01,AL,7.1
1991-02-01,AR,7.4
1991-02-01,AZ,4.9
1991-02-01,CA,7.4
1991-02-01,CO,5.1
1991-02-01,CT,5.9
1991-02-01,DE,6.5
1991-02-01,GA,5.7
1991-02-01,HI,2.5
1991-02-01,IA,4.8
1991-02-01,ID,6.4
1991-02-01,IL,6.6
1991-02-01,IN,5.9
1991-02-01,KS,4.8
1991-02-01,KY,7.2
1991-02-01,LA,7.2
1991-02-01,MA,8.4
1991-02-01,MD,5.6
1991-02-01,ME,8.1
1991-02-01,MI,9.1
1991-02-01,MN,5.2
1991-02-01,MS,8.5
1991-03-01,AK,7.9
1991-03-01,AL,7.2
1991-03-01,AR,7.5
1991-03-01,AZ,5.0
1991-03-01,CA,7.6
1991-03-01,CO,5.1
1991-03-01,CT,6.1
1991-03-01,DE,6.4
1991-03-01,GA,5.6
1991-03-01,HI,2.6
1991-03-01,IA,4.8
1991-03-01,ID,6.5
1991-03-01,IL,6.7
1991-03-01,IN,6.0
1991-03-01,KS,4.7
1991-03-01,KY,7.4
1991-03-01,LA,7.3
1991-03-01,MA,8.6
1991-03-01,MD,5.7
1991-03-01,ME,8.4
1991-03-01,MI,9.4
1991-03-01,MN,5.2
1991-03-01,MS,8.6
1991-04-01,AK,8.0
1991-04-01,AL,7.2
1991-04-01,AR,7.5
1991-04-01,AZ,5.1
1991-04-01,CA,7.7
1991-04-01,CO,5.2
1991-04-01,CT,6.2
1991-04-01,DE,6.3
1991-04-01,GA,5.5
1991-04-01,HI,2.6
1991-04-01,IA,4.8
1991-04-01,ID,6.4
1991-04-01,IL,6.8
1991-04-01,IN,5.9
1991-04-01,KS,4.7
1991-04-01,KY,7.4
1991-04-01,LA,7.3
1991-04-01,MA,8.8
1991-04-01,MD,5.7
1991-04-01,ME,8.4
1991-04-01,MI,9.5
1991-04-01,MN,5.2
1991-04-01,MS,8.7
1991-05-01,AK,8.1
1991-05-01,AL,7.3
1991-05-01,AR,7.4
1991-05-01,AZ,5.3
1991-05-01,CA,7.8
1991-05-01,CO,5.2
1991-05-01,CT,6.4
1991-05-01,DE,6.2
1991-05-01,GA,5.4
1991-05-01,HI,2.6
1991-05-01,IA,4.7
1991-05-01,ID,6.4
1991-05-01,IL,6.9
1991-05-01,IN,5.8
1991-05-01,KS,4.6
1991-05-01,KY,7.4
1991-05-01,LA,7.3
1991-05-01,MA,9.0
1991-05-01,MD,5.7
1991-05-01,ME,8.2
1991-05-01,MI,9.5
1991-05-01,MN,5.2
1991-05-01,MS,8.7
1991-06-01,AK,8.3
1991-06-01,AL,7.3
1991-06-01,AR,7.3
1991-06-01,AZ,5.5
1991-06-01,CA,7.8
1991-06-01,CO,5.2
1991-06-01,CT,6.5
1991-06-01,DE,6.0
1991-06-01,GA,5.2
1991-06-01,HI,2.7
1991-06-01,IA,4.7
1991-06-01,ID,6.3
1991-06-01,IL,7.0
1991-06-01,IN,5.7
1991-06-01,KS,4.5
1991-06-01,KY,7.4
1991-06-01,LA,7.3
1991-06-01,MA,9.1
1991-06-01,MD,5.7
1991-06-01,ME,7.9
1991-06-01,MI,9.4
1991-06-01,MN,5.1
1991-06-01,MS,8.6
1991-07-01,AK,8.3
1991-07-01,AL,7.3
1991-07-01,AR,7.2
1991-07-01,AZ,5.8
1991-07-01,CA,7.8
1991-07-01,CO,5.2
1991-07-01,CT,6.6
1991-07-01,DE,5.8
1991-07-01,GA,5.1
1991-07-01,HI,2.7
1991-07-01,IA,4.6
1991-07-01,ID,6.2
1991-07-01,IL,7.2
1991-07-01,IN,5.5
1991-07-01,KS,4.4
1991-07-01,KY,7.3
1991-07-01,LA,7.3
1991-07-01,MA,9.1
1991-07-01,MD,5.7
1991-07-01,ME,7.6
1991-07-01,MI,9.3
1991-07-01,MN,5.1
1991-07-01,MS,8.4
1991-08-01,AK,8.5
1991-08-01,AL,7.3
1991-08-01,AR,7.2
1991-08-01,AZ,6.1
1991-08-01,CA,7.9
1991-08-01,CO,5.2
1991-08-01,CT,6.7
1991-08-01,DE,5.7
1991-08-01,GA,5.0
1991-08-01,HI,2.8
1991-08-01,IA,4.5
1991-08-01,ID,6.2
1991-08-01,IL,7.4
1991-08-01,IN,5.4
1991-08-01,KS,4.4
1991-08-01,KY,7.3
1991-08-01,LA,7.2
1991-08-01,MA,9.1
1991-08-01,MD,5.8
1991-08-01,ME,7.4
1991-08-01,MI,9.2
1991-08-01,MN,5.0
1991-08-01,MS,8.3
1991-09-01,AK,8.6
1991-09-01,AL,7.3
1991-09-01,AR,7.1
1991-09-01,AZ,6.4
1991-09-01,CA,7.9
1991-09-01,CO,5.3
1991-09-01,CT,6.8
1991-09-01,DE,5.6
1991-09-01,GA,5.0
1991-09-01,HI,2.9
1991-09-01,IA,4.5
1991-09-01,ID,6.2
1991-09-01,IL,7.7
1991-09-01,IN,5.4
1991-09-01,KS,4.3
1991-09-01,KY,7.2
1991-09-01,LA,7.2
1991-09-01,MA,9.1
1991-09-01,MD,5.9
1991-09-01,ME,7.3
1991-09-01,MI,9.2
1991-09-01,MN,5.0
1991-09-01,MS,8.1
1991-10-01,AK,8.8
1991-10-01,AL,7.3
1991-10-01,AR,7.2
1991-10-01,AZ,6.8
1991-10-01,CA,8.1
1991-10-01,CO,5.4
1991-10-01,CT,6.9
1991-10-01,DE,5.6
1991-10-01,GA,5.0
1991-10-01,HI,3.0
1991-10-01,IA,4.6
1991-10-01,ID,6.3
1991-10-01,IL,7.9
1991-10-01,IN,5.5
1991-10-01,KS,4.2
1991-10-01,KY,7.2
1991-10-01,LA,7.2
1991-10-01,MA,9.1
1991-10-01,MD,6.0
1991-10-01,ME,7.3
1991-10-01,MI,9.3
1991-10-01,MN,5.0
1991-10-01,MS,8.1
1991-11-01,AK,8.9
1991-11-01,AL,7.4
1991-11-01,AR,7.2
1991-11-01,AZ,7.1
1991-11-01,CA,8.2
1991-11-01,CO,5.6
1991-11-01,CT,7.0
1991-11-01,DE,5.6
1991-11-01,GA,5.1
1991-11-01,HI,3.1
1991-11-01,IA,4.6
1991-11-01,ID,6.4
1991-11-01,IL,8.2
1991-11-01,IN,5.6
1991-11-01,KS,4.2
1991-11-01,KY,7.2
1991-11-01,LA,7.3
1991-11-01,MA,9.1
1991-11-01,MD,6.2
1991-11-01,ME,7.4
1991-11-01,MI,9.3
1991-11-01,MN,5.0
1991-11-01,MS,8.0
1991-12-01,AK,9.0
1991-12-01,AL,7.4
1991-12-01,AR,7.3
1991-12-01,AZ,7.4
1991-12-01,CA,8.4
1991-12-01,CO,5.7
1991-12-01,CT,7.1
1991-12-01,DE,5.6
1991-12-01,GA,5.2
1991-12-01,HI,3.2
1991-12-01,IA,4.7
1991-12-01,ID,6.5
1991-12-01,IL,8.3
1991-12-01,IN,5.7
1991-12-01,KS,4.2
1991-12-01,KY,7.2
1991-12-01,LA,7.4
1991-12-01,MA,9.1
1991-12-01,MD,6.3
1991-12-01,ME,7.6
1991-12-01,MI,9.4
1991-12-01,MN,5.0
1991-12-01,MS,8.1
1992-01-01,AK,9.1
1992-01-01,AL,7.5
1992-01-01,AR,7.3
1992-01-01,AZ,7.6
1992-01-01,CA,8.6
1992-01-01,CO,5.9
1992-01-01,CT,7.2
1992-01-01,DE,5.6
1992-01-01,GA,5.3
1992-01-01,HI,3.4
1992-01-01,IA,4.7
1992-01-01,ID,6.5
1992-01-01,IL,8.4
1992-01-01,IN,5.8
1992-01-01,KS,4.2
1992-01-01,KY,7.1
1992-01-01,LA,7.5
1992-01-01,MA,9.0
1992-01-01,MD,6.5
1992-01-01,ME,7.7
1992-01-01,MI,9.5
1992-01-01,MN,5.0
1992-01-01,MS,8.1
1992-02-01,AK,9.2
1992-02-01,AL,7.5
1992-02-01,AR,7.3
1992-02-01,AZ,7.8
1992-02-01,CA,8.8
1992-02-01,CO,6.0
1992-02-01,CT,7.2
1992-02-01,DE,5.7
1992-02-01,GA,7.6
1992-02-01,HI,3.5
1992-02-01,IA,4.6
1992-02-01,ID,6.6
1992-02-01,IL,8.4
1992-02-01,IN,5.9
1992-02-01,KS,4.3
1992-02-01,KY,7.1
1992-02-01,LA,7.6
1992-02-01,MA,9.0
1992-02-01,MD,6.6
1992-02-01,ME,7.7
1992-02-01,MI,9.5
1992-02-01,MN,5.0
1992-02-01,MS,8.1
1992-03-01,AK,9.1
1992-03-01,AL,7.6
1992-03-01,AR,7.2
1992-03-01,AZ,7.9
1992-03-01,CA,8.9
1992-03-01,CO,6.1
1992-03-01,CT,7.3
1992-03-01,DE,5.6
1992-03-01,GA,7.4
1992-03-01,HI,3.7
1992-03-01,IA,4.6
1992-03-01,ID,6.6
1992-03-01,IL,8.4
1992-03-01,IN,6.0
1992-03-01,KS,4.4
1992-03-01,KY,7.0
1992-03-01,LA,7.7
1992-03-01,MA,9.0
1992-03-01,MD,6.6
1992-03-01,ME,7.7
1992-03-01,MI,9.5
1992-03-01,MN,5.0
1992-03-01,MS,8.2
1992-04-01,AK,9.1
1992-04-01,AL,7.6
1992-04-01,AR,7.2
1992-04-01,AZ,7.8
1992-04-01,CA,9.1
1992-04-01,CO,6.2
1992-04-01,CT,7.3
1992-04-01,DE,5.6
1992-04-01,GA,7.2
1992-04-01,HI,3.9
1992-04-01,IA,4.6
1992-04-01,ID,6.6
1992-04-01,IL,8.3
1992-04-01,IN,6.2
1992-04-01,KS,4.4
1992-04-01,KY,6.9
1992-04-01,LA,7.8
1992-04-01,MA,8.9
1992-04-01,MD,6.6
1992-04-01,ME,7.5
1992-04-01,MI,9.5
1992-04-01,MN,5.1
1992-04-01,MS,8.2
1992-05-01,AK,9.1
1992-05-01,AL,7.6
1992-05-01,AR,7.1
1992-05-01,AZ,7.8
1992-05-01,CA,9.2
1992-05-01,CO,6.2
1992-05-01,CT,7.3
1992-05-01,DE,5.6
1992-05-01,GA,7.1
1992-05-01,HI,4.0
1992-05-01,IA,4.5
1992-05-01,ID,6.6
1992-05-01,IL,8.2
1992-05-01,IN,6.3
1992-05-01,KS,4.5
1992-05-01,KY,6.9
1992-05-01,LA,7.9
1992-05-01,MA,8.9
1992-05-01,MD,6.6
1992-05-01,ME,7.4
1992-05-01,MI,9.4
1992-05-01,MN,5.1
1992-05-01,MS,8.2
1992-06-01,AK,9.0
1992-06-01,AL,7.6
1992-06-01,AR,7.1
1992-06-01,AZ,7.7
1992-06-01,CA,9.4
1992-06-01,CO,6.2
1992-06-01,CT,7.4
1992-06-01,DE,5.6
1992-06-01,GA,6.9
1992-06-01,HI,4.2
1992-06-01,IA,4.5
1992-06-01,ID,6.6
1992-06-01,IL,8.1
1992-06-01,IN,6.3
1992-06-01,KS,4.6
1992-06-01,KY,6.9
1992-06-01,LA,8.0
1992-06-01,MA,8.9
1992-06-01,MD,6.6
1992-06-01,ME,7.2
1992-06-01,MI,9.4
1992-06-01,MN,5.1
1992-06-01,MS,8.2
1992-07-01,AK,8.9
1992-07-01,AL,7.5
1992-07-01,AR,7.0
1992-07-01,AZ,7.6
1992-07-01,CA,9.5
1992-07-01,CO,6.2
1992-07-01,CT,7.4
1992-07-01,DE,5.6
1992-07-01,GA,6.7
1992-07-01,HI,4.3
1992-07-01,IA,4.5
1992-07-01,ID,6.6
1992-07-01,IL,7.9
1992-07-01,IN,6.3
1992-07-01,KS,4.7
1992-07-01,KY,6.9
1992-07-01,LA,8.0
1992-07-01,MA,8.9
1992-07-01,MD,6.6
1992-07-01,ME,7.2
1992-07-01,MI,9.3
1992-07-01,MN,5.1
1992-07-01,MS,8.2
1992-08-01,AK,8.8
1992-08-01,AL,7.5
1992-08-01,AR,7.0
1992-08-01,AZ,7.5
1992-08-01,CA,9.7
1992-08-01,CO,6.2
1992-08-01,CT,7.4
1992-08-01,DE,5.5
1992-08-01,GA,6.6
1992-08-01,HI,4.4
1992-08-01,IA,4.4
1992-08-01,ID,6.7
1992-08-01,IL,7.6
1992-08-01,IN,6.3
1992-08-01,KS,4.7
1992-08-01,KY,6.9
1992-08-01,LA,8.0
1992-08-01,MA,8.8
1992-08-01,MD,6.5
1992-08-01,ME,7.1
1992-08-01,MI,9.1
1992-08-01,MN,5.1
1992-08-01,MS,8.1
1992-09-01,AK,8.7
1992-09-01,AL,7.5
1992-09-01,AR,6.9
1992-09-01,AZ,7.4
1992-09-01,CA,9.8
1992-09-01,CO,6.2
1992-09-01,CT,7.3
1992-09-01,DE,5.4
1992-09-01,GA,6.2
1992-09-01,HI,4.4
1992-09-01,IA,4.4
1992-09-01,ID,6.6
1992-09-01,IL,7.4
1992-09-01,IN,6.2
1992-09-01,KS,4.7
1992-09-01,KY,6.8
1992-09-01,LA,7.9
1992-09-01,MA,8.7
1992-09-01,MD,6.5
1992-09-01,ME,7.1
1992-09-01,MI,8.9
1992-09-01,MN,5.1
1992-09-01,MS,7.9
1992-10-01,AK,8.6
1992-10-01,AL,7.5
1992-10-01,AR,6.7
1992-10-01,AZ,7.3
1992-10-01,CA,9.8
1992-10-01,CO,6.1
1992-10-01,CT,7.3
1992-10-01,DE,5.2
1992-10-01,GA,6.2
1992-10-01,HI,4.5
1992-10-01,IA,4.4
1992-10-01,ID,6.5
1992-10-01,IL,7.3
1992-10-01,IN,6.1
1992-10-01,KS,4.7
1992-10-01,KY,6.8
1992-10-01,LA,7.8
1992-10-01,MA,8.6
1992-10-01,MD,6.5
1992-10-01,ME,7.1
1992-10-01,MI,8.6
1992-10-01,MN,5.1
1992-10-01,MS,7.7
1992-11-01,AK,8.4
1992-11-01,AL,7.5
1992-11-01,AR,6.6
1992-11-01,AZ,7.3
1992-11-01,CA,9.8
1992-11-01,CO,6.1
1992-11-01,CT,7.3
1992-11-01,DE,5.1
1992-11-01,GA,6.2
1992-11-01,HI,4.5
1992-11-01,IA,4.3
1992-11-01,ID,6.4
1992-11-01,IL,7.3
1992-11-01,IN,5.9
1992-11-01,KS,4.7
1992-11-01,KY,6.7
1992-11-01,LA,7.7
1992-11-01,MA,8.5
1992-11-01,MD,6.4
1992-11-01,ME,7.0
1992-11-01,MI,8.3
1992-11-01,MN,5.1
1992-11-01,MS,7.5
1992-12-01,AK,8.2
1992-12-01,AL,7.5
1992-12-01,AR,6.5
1992-12-01,AZ,7.2
1992-12-01,CA,9.8
1992-12-01,CO,6.1
1992-12-01,CT,7.2
1992-12-01,DE,5.0
1992-12-01,GA,6.2
1992-12-01,HI,4.5
1992-12-01,IA,4.3
1992-12-01,ID,6.4
1992-12-01,IL,7.4
1992-12-01,IN,5.8
1992-12-01,KS,4.8
1992-12-01,KY,6.6
1992-12-01,LA,7.6
1992-12-01,MA,8.4
1992-12-01,MD,6.4
1992-12-01,ME,7.0
1992-12-01,MI,7.9
1992-12-01,MN,5.1
1992-12-01,MS,7.3
1993-01-01,AK,8.1
1993-01-01,AL,7.5
1993-01-01,AR,6.4
1993-01-01,AZ,7.1
1993-01-01,CA,9.8
1993-01-01,CO,6.0
1993-01-01,CT,7.1
1993-01-01,DE,4.9
1993-01-01,GA,6.1
1993-01-01,HI,4.5
1993-01-01,IA,4.3
1993-01-01,ID,6.3
1993-01-01,IL,7.5
1993-01-01,IN,5.7
1993-01-01,KS,4.8
1993-01-01,KY,6.6
1993-01-01,LA,7.5
1993-01-01,MA,8.2
1993-01-01,MD,6.3
1993-01-01,ME,6.9
1993-01-01,MI,7.7
1993-01-01,MN,5.1
1993-01-01,MS,7.2
1993-02-01,AK,8.0
1993-02-01,AL,7.5
1993-02-01,AR,6.3
1993-02-01,AZ,6.9
1993-02-01,CA,9.8
1993-02-01,CO,6.0
1993-02-01,CT,7.1
1993-02-01,DE,4.9
1993-02-01,GA,6.0
1993-02-01,HI,4.4
1993-02-01,IA,4.3
1993-02-01,ID,6.3
1993-02-01,IL,7.7
1993-02-01,IN,5.7
1993-02-01,KS,4.9
1993-02-01,KY,6.5
1993-02-01,LA,7.5
1993-02-01,MA,8.0
1993-02-01,MD,6.3
1993-02-01,ME,6.8
1993-02-01,MI,7.5
1993-02-01,MN,5.1
1993-02-01,MS,7.1
1993-03-01,AK,7.9
1993-03-01,AL,7.5
1993-03-01,AR,6.3
1993-03-01,AZ,6.8
1993-03-01,CA,9.7
1993-03-01,CO,5.8
1993-03-01,CT,6.9
1993-03-01,DE,4.8
1993-03-01,GA,5.9
1993-03-01,HI,4.4
1993-03-01,IA,4.3
1993-03-01,ID,6.4
1993-03-01,IL,7.8
1993-03-01,IN,5.6
1993-03-01,KS,5.0
1993-03-01,KY,6.5
1993-03-01,LA,7.4
1993-03-01,MA,7.8
1993-03-01,MD,6.2
1993-03-01,ME,6.7
1993-03-01,MI,7.4
1993-03-01,MN,5.2
1993-03-01,MS,7.0
1993-04-01,AK,7.9
1993-04-01,AL,7.5
1993-04-01,AR,6.2
1993-04-01,AZ,6.5
1993-04-01,CA,9.7
1993-04-01,CO,5.7
1993-04-01,CT,6.8
1993-04-01,DE,4.8
1993-04-01,GA,5.8
1993-04-01,HI,4.3
1993-04-01,IA,4.3
1993-04-01,ID,6.4
1993-04-01,IL,7.8
1993-04-01,IN,5.6
1993-04-01,KS,5.0
1993-04-01,KY,6.5
1993-04-01,LA,7.4
1993-04-01,MA,7.6
1993-04-01,MD,6.2
1993-04-01,ME,6.7
1993-04-01,MI,7.3
1993-04-01,MN,5.2
1993-04-01,MS,6.9
1993-05-01,AK,7.8
1993-05-01,AL,7.4
1993-05-01,AR,6.2
1993-05-01,AZ,6.3
1993-05-01,CA,9.6
1993-05-01,CO,5.5
1993-05-01,CT,6.7
1993-05-01,DE,4.9
1993-05-01,GA,5.7
1993-05-01,HI,4.3
1993-05-01,IA,4.3
1993-05-01,ID,6.3
1993-05-01,IL,7.8
1993-05-01,IN,5.6
1993-05-01,KS,5.0
1993-05-01,KY,6.4
1993-05-01,LA,7.4
1993-05-01,MA,7.4
1993-05-01,MD,6.2
1993-05-01,ME,6.7
1993-05-01,MI,7.3
1993-05-01,MN,5.1
1993-05-01,MS,6.8
1993-06-01,AK,7.8
1993-06-01,AL,7.3
1993-06-01,AR,6.2
1993-06-01,AZ,6.2
1993-06-01,CA,9.6
1993-06-01,CO,5.4
1993-06-01,CT,6.6
1993-06-01,DE,4.9
1993-06-01,GA,5.7
1993-06-01,HI,4.3
1993-06-01,IA,4.2
1993-06-01,ID,6.3
1993-06-01,IL,7.8
1993-06-01,IN,5.6
1993-06-01,KS,5.0
1993-06-01,KY,6.4
1993-06-01,LA,7.3
1993-06-01,MA,7.3
1993-06-01,MD,6.2
1993-06-01,ME,6.8
1993-06-01,MI,7.3
1993-06-01,MN,5.1
1993-06-01,MS,6.7
1993-07-01,AK,7.8
1993-07-01,AL,7.3
1993-07-01,AR,6.1
1993-07-01,AZ,6.1
1993-07-01,CA,9.5
1993-07-01,CO,5.3
1993-07-01,CT,6.4
1993-07-01,DE,5.0
1993-07-01,GA,5.6
1993-07-01,HI,4.3
1993-07-01,IA,4.2
1993-07-01,ID,6.1
1993-07-01,IL,7.6
1993-07-01,IN,4.7
1993-07-01,KS,5.0
1993-07-01,KY,6.3
1993-07-01,LA,7.3
1993-07-01,MA,7.1
1993-07-01,MD,6.1
1993-07-01,ME,6.9
1993-07-01,MI,7.3
1993-07-01,MN,5.0
1993-07-01,MS,6.6
1993-08-01,AK,7.7
1993-08-01,AL,7.2
1993-08-01,AR,6.1
1993-08-01,AZ,6.0
1993-08-01,CA,9.5
1993-08-01,CO,5.1
